HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err
2456437.95751,2013-05-25.4572144,bb,2.00,13.929,8.153,0.004,2104.006,7.834
2456437.95924,2013-05-25.4589462,bb,1.99,13.926,8.094,0.004,2220.260,7.974
2456439.95165,2013-05-27.4514134,bb,2.11,14.027,8.143,0.004,2120.022,7.393
2456447.86773,2013-06-04.3677627,bb,2.03,13.747,7.987,0.003,2449.773,7.373
2456447.86911,2013-06-04.3691417,bb,2.06,13.734,7.974,0.003,2480.235,7.917
2456447.96571,2013-06-04.4657494,bb,2.01,13.803,8.044,0.004,2325.247,8.018
2456447.96726,2013-06-04.4673054,bb,2.07,13.783,8.028,0.004,2358.857,7.892
2456451.85468,2013-06-08.3548561,bb,1.73,13.848,8.089,0.004,2229.980,7.381
2456451.85605,2013-06-08.3562332,bb,1.73,13.849,8.089,0.003,2229.434,6.600
2456452.85552,2013-06-09.3557334,bb,1.70,13.756,8.016,0.004,2384.362,8.275
2456452.85691,2013-06-09.3571160,bb,1.69,13.772,8.014,0.003,2390.178,7.405
2456457.83998,2013-06-14.3403564,bb,1.83,13.801,8.027,0.003,2359.841,6.942
2456457.84135,2013-06-14.3417336,bb,1.84,13.816,8.049,0.003,2314.946,7.232
2456457.85136,2013-06-14.3517373,bb,1.75,13.716,7.958,0.004,2514.712,8.372
2456457.85273,2013-06-14.3531060,bb,1.77,13.682,7.937,0.003,2564.745,7.991
